lat,lng,elev
-36.875260,174.757930,75.7
-36.875262,174.757929,75.7
-36.875398,174.757888,75.8
-36.875534,174.757846,76.1
-36.875541,174.757844,76.7
-36.875670,174.757804,76.6
-36.875805,174.757762,77.1
-36.875941,174.757720,77.9
-36.876050,174.757687,78.9
-36.876077,174.757679,78.8
-36.876213,174.757637,79.6
-36.876259,174.757623,79.6
-36.876349,174.757595,79.6
-36.876485,174.757553,80.1
-36.876559,174.757530,80.0
-36.877028,174.757386,78.6
-36.877068,174.757374,78.5
-36.877299,174.757302,77.7
-36.877340,174.757290,77.5
-36.877302,174.757116,76.1
-36.877286,174.757042,75.8
-36.877240,174.756830,74.1
-36.877176,174.756516,72.1
-36.877150,174.756390,71.3
-36.877145,174.756366,71.4
-36.877049,174.755936,68.5
-36.877032,174.755858,68.1
-36.876922,174.755366,64.8
-36.876919,174.755351,64.8
-36.876890,174.755220,63.8
-36.876880,174.755182,63.6
-36.876830,174.754990,62.2
-36.876795,174.754808,60.9
-36.876690,174.754250,59.3
-36.876637,174.753998,58.8
-36.876544,174.753553,57.4
-36.876531,174.753491,57.3
-36.876520,174.753440,57.1
-36.876420,174.753050,56.0
-36.876416,174.753031,55.9
-36.876406,174.752983,55.9
-36.876290,174.752410,54.3
-36.876269,174.752307,54.4
-36.876164,174.751789,53.3
-36.876132,174.751630,53.4
-36.876038,174.751168,52.4
-36.876029,174.751123,52.9
-36.876010,174.751030,52.2
-36.876176,174.750978,51.5
-36.876235,174.750960,50.9
-36.876312,174.750936,50.8
-36.876583,174.750851,49.9
-36.876719,174.750808,49.6
-36.876737,174.750803,49.5
-36.876991,174.750723,49.3
-36.877076,174.750697,49.3
-36.877127,174.750681,49.3
-36.877239,174.750646,49.4
-36.877263,174.750639,49.4
-36.877290,174.750630,49.4
-36.877534,174.750546,49.4
-36.877670,174.750499,49.4
-36.877700,174.750488,49.5
-36.878078,174.750358,49.2
-36.878100,174.750350,49.2
-36.878164,174.750330,49.2
-36.878214,174.750315,49.2
-36.878621,174.750190,49.5
-36.878673,174.750174,49.8
-36.878750,174.750150,49.8
-36.879144,174.750016,50.8
-36.879165,174.750009,50.8
-36.879280,174.749970,51.0
-36.879430,174.749920,51.3
-36.879572,174.749876,51.7
-36.879628,174.749859,52.1
-36.879708,174.749834,52.1
-36.880116,174.749709,53.8
-36.880138,174.749702,54.4
-36.880251,174.749667,54.3
-36.880340,174.749640,54.6
-36.880523,174.749570,55.1
-36.880589,174.749544,55.4
-36.880600,174.749540,55.3
-36.880900,174.749430,55.7
-36.880931,174.749418,55.8
-36.881011,174.749386,56.0
-36.881067,174.749363,55.9
-36.881150,174.749330,56.0
-36.881339,174.749283,56.2
-36.881390,174.749270,56.2
-36.881474,174.749244,56.3
-36.881524,174.749229,56.6
-36.881610,174.749203,56.4
-36.882010,174.749080,57.0
-36.882018,174.749077,57.0
-36.882033,174.749072,57.4
-36.882154,174.749032,57.2
-36.882319,174.748977,57.2
-36.882425,174.748942,57.2
-36.882506,174.748915,57.2
-36.882561,174.748896,57.0
-36.882580,174.748890,57.0
-36.882833,174.748800,56.2
-36.882860,174.748790,56.2
-36.882959,174.748757,56.0
-36.882969,174.748754,55.9
-36.883241,174.748663,55.7
-36.883376,174.748618,55.7
-36.883432,174.748599,56.1
-36.883490,174.748580,55.8
-36.883920,174.748442,56.0
-36.883921,174.748442,56.6
-36.884056,174.748399,56.1
-36.884191,174.748356,56.0
-36.884240,174.748340,55.9
-36.884327,174.748310,55.8
-36.884402,174.748285,55.9
-36.884463,174.748264,55.6
-36.884865,174.748127,55.2
-36.884871,174.748125,55.2
-36.885143,174.748033,55.0
-36.885150,174.748030,55.0
-36.885173,174.748134,55.8
-36.885270,174.748571,58.6
-36.885285,174.748642,58.8
-36.885323,174.748811,59.5
-36.885360,174.748980,60.0
-36.885397,174.749144,60.3
-36.885398,174.749149,60.0
-36.885473,174.749487,60.4
-36.885480,174.749520,60.4
